MF Rank,EY Rank,ROC Rank,Combined Rank,MF Score,Grade,Ticker,Sector,Price,Market Cap,EBIT,EV,Earnings Yield %,ROC % (Greenblatt),ROE %,Gross Margin %,Op Margin %,FCF Margin %,P/E,D/E,Beta,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %
,,,,0.0,N/A,TMUS,Communications,213.44,235181593219.37,18816000000.0,343249649159.36,5.48,,18.2,47.6,21.3,17.5,22.0,2.07,0.34,8.5,0.3,8.5,8.5
,,,,0.0,N/A,LIN,Process Industries,481.55,223147461314.34,9254000000.0,224358845780.0,4.12,,18.1,37.8,27.2,15.0,33.0,0.73,0.35,3.0,7.2,7.4,21.8
,,,,0.0,N/A,AMGN,Health Technology,377.64,203573517720.21,10262000000.0,224035330000.0,4.58,,106.1,70.5,27.9,22.0,26.5,6.4,0.39,10.6,88.6,-0.8,18.8
,,,,0.0,N/A,KLAC,Electronic Technology,1465.0,192027232322.67,5167664121.2,161303509720.0,3.2,,100.7,60.5,42.5,36.0,42.6,1.12,1.96,17.6,44.8,1.7,19.2
,,,,0.0,N/A,GILD,Health Technology,146.0,181247394726.72,11822000000.0,169637220000.0,6.97,,40.5,78.8,40.1,32.1,21.5,1.13,0.25,2.5,1747.5,-3.8,19.4
,,,,0.0,N/A,TXN,Electronic Technology,198.67,180303107715.8,6140000000.0,167947390000.0,3.66,,30.0,57.0,34.7,14.7,36.5,0.91,1.18,13.0,4.8,-10.2,10.2
,,,,0.0,N/A,ISRG,Health Technology,492.87,175033048035.47,2945500000.0,198469844000.0,1.48,,16.7,66.0,29.3,24.7,62.6,0.01,1.2,20.5,22.8,1.4,-9.6
,,,,0.0,N/A,ADI,Electronic Technology,319.22,155844531591.13,3282268761.7,157479391280.0,2.08,,7.9,56.5,29.8,41.4,58.3,0.26,1.83,25.9,74.6,-0.0,13.4
,,,,0.0,N/A,APP,Technology Services,461.45,155636941255.29,3966993957.16,230087715360.0,1.72,,203.8,85.5,72.4,72.5,48.8,1.66,0.44,23.3,108.1,9.5,-33.8
,,,,0.0,N/A,HON,Electronic Technology,239.44,152206180219.87,7407650024.79,148343474000.0,4.99,,31.7,38.0,19.8,14.5,30.0,2.56,0.87,4.8,-8.3,0.9,24.3
,,,,0.0,N/A,PDD,Retail Trade,102.94,145980478855.0,12100089296.5,128722127283.03,9.4,,30.0,56.6,22.1,,10.8,0.03,1.07,12.4,-6.0,-2.4,-8.5
,,,,0.0,N/A,QCOM,Electronic Technology,134.12,143106036770.01,12046677216.6,191614990000.0,6.29,,21.5,55.1,27.2,29.2,27.7,0.64,0.2,10.2,-48.3,-2.2,-26.1
,,,,0.0,N/A,BKNG,Consumer Services,4322.42,136905502952.34,9487000000.0,175150671690.0,5.42,,,97.1,35.2,33.8,26.0,,-0.51,13.4,-4.0,-2.2,-18.1
,,,,0.0,N/A,PANW,Technology Services,164.93,134582881488.14,1170898315.02,121657670000.0,0.96,,16.3,73.5,12.7,38.7,91.3,0.04,1.23,15.4,2.1,3.2,-13.8
,,,,0.0,N/A,VRTX,Health Technology,492.38,125081360271.92,4760700000.0,111530396000.0,4.27,,22.5,86.3,39.4,26.5,32.1,0.11,0.32,9.9,,3.2,10.5
,,,,0.0,N/A,INTU,Technology Services,440.45,121806445398.41,5100588936.93,143610600000.0,3.55,,23.5,77.7,27.1,36.3,28.6,0.36,0.49,17.2,44.0,0.4,-33.2
,,,,0.0,N/A,SBUX,Consumer Services,101.44,115570593103.29,3289326139.76,119032852000.0,2.76,,,15.7,8.9,6.3,84.5,,1.21,4.3,-61.2,2.4,20.4
,,,,0.0,N/A,ADBE,Technology Services,273.7,112355904493.62,8705267449.2,133547210000.0,6.52,,55.4,88.6,36.6,41.5,16.4,0.57,0.98,10.5,34.6,2.5,-19.9
,,,,0.0,N/A,CRWD,Technology Services,442.03,111435067550.14,-182212000.0,109575363865.0,,,-4.8,74.5,-3.8,25.8,,0.19,1.22,21.7,-781.8,11.6,-14.4
,,,,0.0,N/A,CMCSA,Consumer Services,30.57,109986150721.51,20907830989.1,204705040000.0,10.21,,21.9,58.6,16.9,17.7,5.7,1.08,0.5,-0.0,29.6,-1.7,18.0
,,,,0.0,N/A,MELI,Retail Trade,1766.1,89536290846.78,3201000000.0,101114442785.0,3.17,,36.0,44.5,11.1,27.5,44.8,2.25,1.08,39.1,4.5,-11.0,-10.7
,,,,0.0,N/A,MAR,Consumer Services,326.38,86485660074.08,4139000000.0,100402656000.0,4.12,,,19.5,15.8,10.0,34.4,,1.05,4.3,14.1,-1.5,13.7
,,,,0.0,N/A,ADP,Technology Services,213.0,85763250728.77,5402320915.61,106108481000.0,5.09,,73.8,50.4,26.3,22.4,20.5,0.7,0.56,6.6,8.6,-7.9,-17.9
,,,,0.0,N/A,SNPS,Technology Services,432.98,82942525271.01,1056233872.72,97386805630.0,1.08,,5.5,68.0,15.0,32.3,66.9,0.36,1.26,31.9,-52.2,1.2,-9.2
,,,,0.0,N/A,REGN,Health Technology,774.66,81883623034.29,3702000000.0,77337925000.0,4.79,,14.9,81.6,25.8,28.4,18.6,0.1,0.81,1.0,8.6,-1.1,6.7
,,,,0.0,N/A,ABNB,Consumer Services,133.39,81196356048.58,2609787908.34,74554080000.0,3.5,,30.2,72.3,21.2,37.5,33.0,0.28,1.49,10.8,-2.2,9.5,4.5
,,,,0.0,N/A,CDNS,Technology Services,294.16,80203020783.76,1678281000.0,84823882560.0,1.98,,21.9,85.6,31.7,30.0,72.5,0.49,1.16,14.1,5.3,3.8,-13.0
,,,,0.0,N/A,CTAS,Commercial Services,198.34,79314112377.66,2376369225.25,78640889660.0,3.02,,43.2,48.5,23.0,17.2,42.9,0.73,0.63,8.6,11.7,1.2,6.8
,,,,0.0,N/A,ORLY,Retail Trade,94.39,79144792880.22,3460612000.0,85682094200.0,4.04,,,51.6,19.5,9.0,31.8,,0.07,6.4,9.4,0.4,0.2
,,,,0.0,N/A,MRVL,Electronic Technology,90.44,78994805128.05,1338400000.0,69403104000.0,1.93,,19.3,50.1,16.3,17.0,29.3,0.31,1.9,42.1,,13.6,-0.6
,,,,0.0,N/A,MNST,Consumer Non-Durables,77.52,75835545673.68,2419353000.0,72893368360.0,3.32,,26.8,55.8,29.2,23.7,40.0,0.0,0.36,10.7,30.5,-6.0,4.8
,,,,0.0,N/A,CSX,Transportation,40.34,75014519527.22,4685000000.0,86319000000.0,5.43,,22.5,33.2,33.2,12.1,26.1,1.48,0.81,-3.1,-13.9,0.3,8.7
,,,,0.0,N/A,MDLZ,Consumer Non-Durables,55.36,70962973663.51,4758000000.0,89374360000.0,5.32,,9.3,30.9,12.3,8.4,29.3,0.85,0.17,5.8,-44.8,-7.7,2.3
,,,,0.0,N/A,WBD,Consumer Services,27.81,68966838388.19,1546000000.0,104907420000.0,1.47,,2.1,28.8,4.1,8.3,96.8,1.02,1.55,-5.0,,1.7,-5.5
,,,,0.0,N/A,ROST,Retail Trade,212.87,68851723347.89,2707357000.0,61384742250.0,4.41,,36.7,29.4,11.9,9.7,32.2,0.84,0.47,7.7,4.6,11.6,16.9
,,,,0.0,N/A,PCAR,Producer Manufacturing,118.12,62118645860.09,3150849832.25,63874368000.0,4.93,,12.9,15.7,11.1,10.6,26.2,0.81,0.8,-15.5,-42.9,-6.8,4.1
,,,,0.0,N/A,FTNT,Technology Services,83.48,61768818551.84,2074300000.0,56877980000.0,3.65,,135.7,80.5,30.5,32.7,34.4,0.86,1.25,14.2,7.4,1.5,2.3
,,,,0.0,N/A,FAST,Distribution Services,46.59,53500623523.96,1655820191.7,46338678000.0,3.57,,33.3,43.0,20.2,12.8,42.6,0.11,0.63,8.7,9.2,-2.4,13.3
,,,,0.0,N/A,ADSK,Technology Services,251.83,53136131277.75,1462000000.0,54251180000.0,2.69,,39.7,85.5,20.3,33.5,48.1,0.9,0.71,17.8,2.1,5.4,-16.0
,,,,0.0,N/A,NXPI,Electronic Technology,199.87,50505717742.58,3128000000.03,64774170785.72,4.83,,21.0,53.4,25.5,20.4,25.2,1.24,1.66,-2.7,-18.3,-9.7,-12.8
,,,,0.0,N/A,EA,Technology Services,199.92,50030726162.15,1058337889.56,50746490000.0,2.09,,10.0,77.5,14.2,30.9,75.1,0.32,0.49,-0.3,-32.2,-0.0,-1.8
,,,,0.0,N/A,FANG,Energy Minerals,176.64,49826434964.04,4855000000.0,63730660370.0,7.62,,4.4,35.2,32.3,34.8,31.3,0.4,0.74,35.8,-64.3,6.5,11.8
,,,,0.0,N/A,IDXX,Health Technology,600.52,47815821186.46,1365962000.0,55243126400.0,2.47,,66.2,61.9,31.7,24.5,45.9,0.61,0.89,10.4,22.6,-7.3,-14.3
,,,,0.0,N/A,CCEP,Consumer Non-Durables,101.13,45427415690.94,3094936709.12,,,,24.4,34.9,13.1,10.0,20.9,1.36,0.2,6.8,45.6,4.2,11.3
,,,,0.0,N/A,DDOG,Technology Services,127.49,44976534938.2,-44373000.0,46510689840.0,,,3.3,79.9,-1.3,29.2,430.4,0.34,1.12,27.7,-42.3,10.8,-15.1
,,,,0.0,N/A,PYPL,Commercial Services,45.57,41954684006.08,6562803143.47,56492820000.0,11.62,,25.7,41.8,19.7,16.7,8.4,0.6,1.24,4.9,35.3,13.3,-24.1
,,,,0.0,N/A,AXON,Electronic Technology,517.57,41611422121.57,-59076000.0,47198513740.0,,,4.5,59.7,-2.1,2.7,339.4,0.59,1.22,33.4,-68.1,23.8,-8.2
,,,,0.0,N/A,TTWO,Technology Services,211.09,39088685144.83,-251571319.24,48504650000.0,,,-86.2,52.9,-4.5,8.7,,1.0,0.77,20.3,-4.9,6.9,-13.5
,,,,0.0,N/A,KDP,Consumer Non-Durables,27.65,37567116558.61,3576000000.0,55114630000.0,6.49,,8.4,51.6,21.5,8.3,18.1,0.7,0.16,8.2,45.1,-2.4,-6.5
,,,,0.0,N/A,ROP,Technology Services,352.25,36256215997.04,2235400000.0,57222114000.0,3.91,,7.9,69.2,28.3,31.5,24.8,0.48,0.5,12.3,-1.0,-1.4,-20.4
,,,,0.0,N/A,MCHP,Electronic Technology,65.79,35601301399.0,279151879.97,39913160000.0,0.7,,-1.1,40.7,6.3,18.6,,0.82,2.31,-8.1,-150.8,-11.5,-3.0
,,,,0.0,N/A,WDAY,Technology Services,137.84,35424881365.92,1066000000.0,44632873930.0,2.39,,8.2,75.7,11.2,29.1,53.3,0.49,1.07,13.3,32.2,-7.9,-37.8
,,,,0.0,N/A,CPRT,Retail Trade,35.55,34245613123.61,1695743111.24,34581615620.0,4.9,,17.2,44.8,36.5,30.3,22.3,0.01,0.64,2.4,7.1,-11.8,-9.2
,,,,0.0,N/A,PAYX,Technology Services,94.0,33742940122.12,2364733676.4,43716076000.0,5.41,,40.9,73.4,42.4,35.0,21.3,1.3,0.41,12.4,-7.2,-4.6,-16.8
,,,,0.0,N/A,GEHC,Health Technology,72.65,33110223508.41,2893000000.0,43654140000.0,6.63,,22.2,39.7,14.0,7.3,16.0,1.01,1.89,4.8,4.9,-9.2,-14.0
,,,,0.0,N/A,CHTR,Consumer Services,224.36,31888634155.48,13339000000.0,127896645476.25,10.43,,31.5,46.3,24.4,8.1,6.2,6.05,0.83,-0.6,3.1,-2.9,4.5
,,,,0.0,N/A,CTSH,Technology Services,62.43,29856954856.17,3355000000.0,39256000000.0,8.55,,15.2,31.2,15.9,12.3,13.7,0.08,0.93,7.0,1.1,-17.5,-24.8
,,,,0.0,N/A,VRSK,Technology Services,203.13,28020137542.6,1374600000.0,33839830216.16,4.06,,444.0,59.2,44.7,38.8,31.3,15.86,0.15,6.6,-3.3,13.7,-5.9
,,,,0.0,N/A,BIIB,Health Technology,190.48,27954565273.3,2420500000.0,28659633000.0,8.45,,7.4,66.6,25.4,21.5,21.6,0.36,0.82,2.9,-21.2,-4.7,7.3
,,,,0.0,N/A,KHC,Consumer Non-Durables,23.14,27391853360.47,4672000000.0,46700310000.0,10.0,,-12.9,33.4,18.7,14.7,,0.52,0.17,-3.5,-318.1,-5.8,-5.1
,,,,0.0,N/A,DXCM,Health Technology,66.31,25520387728.6,911800000.0,25865993000.0,3.53,,34.5,60.4,19.6,23.1,31.7,0.51,1.34,15.6,46.9,-3.9,-2.5
,,,,0.0,N/A,ZS,Technology Services,153.81,24731219270.98,-121378139.88,30289833830.0,,,-3.6,76.3,-4.5,32.7,,0.85,1.25,23.9,-313.5,-8.4,-36.2
,,,,0.0,N/A,GFS,Electronic Technology,44.09,24509121340.21,797000000.0,18267200000.0,4.36,,7.8,24.9,11.7,14.9,27.8,0.14,1.3,0.6,,2.7,10.0
,,,,0.0,N/A,ON,Electronic Technology,59.24,23341776750.23,747600000.0,22507345000.0,3.32,,1.5,32.3,12.5,23.7,177.5,0.42,1.66,-15.3,-90.8,-8.6,7.7
,,,,0.0,N/A,DLTR,Retail Trade,113.25,22520122568.5,1353739838.3,27264756000.0,4.97,,20.1,38.5,7.7,9.1,,2.21,0.64,-39.3,-182.3,-8.5,-8.6
,,,,0.0,N/A,ZM,Technology Services,76.05,22409416035.42,1123633000.0,20145020736.9,5.58,,20.3,77.0,23.1,39.5,12.2,0.01,1.08,4.4,93.9,-16.9,-13.6
,,,,0.0,N/A,MRNA,Health Technology,55.97,22104759299.12,-3074000000.0,7065080000.0,,,-28.9,44.3,-158.1,-106.2,,0.15,1.64,-39.9,21.8,36.3,93.5
,,,,0.0,N/A,MDB,Technology Services,270.57,22022166721.53,-137277000.0,29749956854.99,,,-2.5,71.3,-5.6,20.3,,0.01,1.46,22.8,50.3,-21.8,-36.1
,,,,0.0,N/A,TEAM,Technology Services,75.45,19970046592.68,-103640975.56,42426097054.62,,,-13.5,83.8,-2.0,25.5,,0.76,1.41,20.1,45.9,-19.3,-53.5
,,,,0.0,N/A,LULU,Consumer Non-Durables,162.79,19929083109.88,2337435819.32,20944790080.0,11.16,,41.0,58.4,22.1,10.7,11.4,0.39,1.35,8.8,3.5,-5.9,-11.3
,,,,0.0,N/A,CSGP,Technology Services,45.34,19033429176.17,-51698407.81,27661904000.0,,,0.1,75.2,-1.6,10.7,2667.1,0.14,0.76,18.7,-95.0,-8.7,-33.1
,,,,0.0,N/A,ILMN,Health Technology,121.5,18577349026.81,893382170.01,21702300000.0,4.12,,33.4,67.1,20.6,21.5,22.2,0.94,1.38,-0.7,,1.5,-9.3
,,,,0.0,N/A,CDW,Technology Services,118.91,15338628140.17,1663200000.0,23342120000.0,7.13,,43.0,21.7,7.4,4.9,14.7,2.37,1.12,6.8,1.4,-15.8,-20.0
,,,,0.0,N/A,TTD,Technology Services,27.28,12984663623.88,589321000.0,17457514000.0,3.38,,16.3,78.6,20.3,27.5,30.2,0.18,0.87,18.5,15.8,0.6,-29.0
