Quality Score,Grade,Rank,Ticker,Sector,Price,Market Cap,P1 Return on Capital,P2 Profitability,P3 Balance Sheet,P4 Capital Efficiency,ROIC %,ROE %,Gross Margin %,Op Margin %,FCF Margin %,FCF/NI,Net Debt/EBITDA,D/E,P/E,P/B,EV/EBITDA,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %,Beta,Div Yield %
79.0,B+,25,FAST,Distribution Services,46.59,53500623523.96,35.0,15.0,22.0,7.0,30.8,33.3,43.0,20.2,12.8,0.83,0.1,0.11,42.6,13.56,29.2,8.7,9.2,-2.4,13.3,0.63,2.07
79.0,B+,26,LULU,Consumer Non-Durables,162.79,19929083109.88,35.0,19.0,20.0,5.0,31.2,41.0,58.4,22.1,10.7,0.62,0.2,0.39,11.4,4.26,7.0,8.8,3.5,-5.9,-11.3,1.35,
79.0,B+,27,TTD,Technology Services,27.28,12984663623.88,19.0,23.0,24.0,13.0,14.7,16.3,78.6,20.3,27.5,1.79,Net Cash,0.18,30.2,5.23,17.2,18.5,15.8,0.6,-29.0,0.87,
78.0,B+,28,PANW,Technology Services,164.93,134582881488.14,22.0,19.0,24.0,13.0,15.5,16.3,73.5,12.7,38.7,3.14,Net Cash,0.04,91.3,12.34,60.9,15.4,2.1,3.2,-13.8,1.23,
76.0,B+,29,AVGO,Electronic Technology,341.57,1619476871352.66,26.0,23.0,12.0,15.0,18.2,33.4,65.0,41.6,45.3,1.25,1.4,0.83,66.7,,45.0,25.2,147.1,3.3,-15.6,2.16,0.76
74.0,B+,30,QCOM,Electronic Technology,134.12,143106036770.01,21.0,23.0,18.0,12.0,13.8,21.5,55.1,27.2,29.2,2.33,0.2,0.64,27.7,6.24,10.6,10.2,-48.3,-2.2,-26.1,0.2,
74.0,B+,31,BKNG,Consumer Services,4322.42,136905502952.34,20.0,25.0,17.0,12.0,46.7,,97.1,35.2,33.8,1.68,0.2,,26.0,,13.6,13.4,-4.0,-2.2,-18.1,-0.51,0.93
74.0,B+,32,PAYX,Technology Services,94.0,33742940122.12,29.0,25.0,10.0,10.0,24.1,40.9,73.4,42.4,35.0,1.18,1.2,1.3,21.3,8.7,12.8,12.4,-7.2,-4.6,-16.8,0.41,4.54
73.0,B+,33,VRSK,Technology Services,203.13,28020137542.6,32.0,23.0,7.0,11.0,28.0,444.0,59.2,44.7,38.8,1.31,1.6,15.86,31.3,90.98,18.1,6.6,-3.3,13.7,-5.9,0.15,0.99
72.0,B+,34,CSCO,Electronic Technology,78.1,308486636370.51,24.0,21.0,16.0,11.0,16.6,24.3,64.0,23.6,21.6,1.2,1.0,0.67,27.5,6.46,19.7,9.0,24.6,-7.8,-2.7,0.99,2.16
72.0,B+,35,REGN,Health Technology,774.66,81883623034.29,17.0,25.0,24.0,6.0,13.6,14.9,81.6,25.8,28.4,0.91,Net Cash,0.1,18.6,2.62,18.0,1.0,8.6,-1.1,6.7,0.81,0.49
71.0,B+,36,MU,Electronic Technology,418.69,471239462206.8,24.0,19.0,20.0,8.0,18.1,22.6,45.5,32.9,12.4,0.54,0.1,0.21,39.8,8.02,21.1,45.4,203.8,10.0,60.1,2.4,0.11
71.0,B+,37,GILD,Health Technology,146.0,181247394726.72,26.0,25.0,12.0,8.0,18.9,40.5,78.8,40.1,32.1,1.11,1.1,1.13,21.5,7.98,13.5,2.5,1747.5,-3.8,19.4,0.25,2.21
71.0,B+,38,CTAS,Commercial Services,198.34,79314112377.66,32.0,18.0,14.0,7.0,27.9,43.2,48.5,23.0,17.2,0.99,1.0,0.73,42.9,17.8,27.6,8.6,11.7,1.2,6.8,0.63,0.92
71.0,B+,39,CPRT,Retail Trade,35.55,34245613123.61,22.0,19.0,24.0,6.0,17.1,17.2,44.8,36.5,30.3,0.91,Net Cash,0.01,22.3,3.5,15.4,2.4,7.1,-11.8,-9.2,0.64,
69.0,B,40,MELI,Retail Trade,1766.1,89536290846.78,26.0,13.0,15.0,15.0,18.6,36.0,44.5,11.1,27.5,3.98,Net Cash,2.25,44.8,13.27,22.0,39.1,4.5,-11.0,-10.7,1.08,
69.0,B,41,ILMN,Health Technology,121.5,18577349026.81,26.0,23.0,14.0,6.0,18.6,33.4,67.1,20.6,21.5,1.1,0.8,0.94,22.2,6.83,16.7,-0.7,,1.5,-9.3,1.38,
66.0,B,42,PYPL,Commercial Services,45.57,41954684006.08,26.0,14.0,18.0,8.0,17.0,25.7,41.8,19.7,16.7,1.06,0.2,0.6,8.4,2.07,5.8,4.9,35.3,13.3,-24.1,1.24,1.24
64.0,B,43,TXN,Electronic Technology,198.67,180303107715.8,26.0,21.0,12.0,5.0,16.3,30.0,57.0,34.7,14.7,0.52,1.2,0.91,36.5,11.07,23.4,13.0,4.8,-10.2,10.2,1.18,2.88
63.0,B,44,ADI,Electronic Technology,319.22,155844531591.13,7.0,23.0,18.0,15.0,6.5,7.9,56.5,29.8,41.4,2.01,0.8,0.26,58.3,4.61,29.3,25.9,74.6,-0.0,13.4,1.83,1.38
63.0,B,45,CTSH,Technology Services,62.43,29856954856.17,19.0,11.0,24.0,9.0,14.1,15.2,31.2,15.9,12.3,1.16,Net Cash,0.08,13.7,1.99,7.5,7.0,1.1,-17.5,-24.8,0.93,2.1
62.0,B,46,COST,Retail Trade,992.23,440420543458.04,29.0,2.0,22.0,9.0,23.1,29.7,13.6,3.8,3.3,1.12,Net Cash,0.25,51.6,13.72,32.0,8.4,12.3,-0.9,13.3,0.29,0.52
62.0,B,47,ROST,Retail Trade,212.87,68851723347.89,29.0,8.0,16.0,9.0,21.5,36.7,29.4,11.9,9.7,1.03,0.2,0.84,32.2,,21.6,7.7,4.6,11.6,16.9,0.47,0.84
61.0,B,48,MRVL,Electronic Technology,90.44,78994805128.05,19.0,16.0,18.0,8.0,14.8,19.3,50.1,16.3,17.0,0.52,0.7,0.31,29.3,,30.7,42.1,,13.6,-0.6,1.9,0.26
60.0,B,49,AMD,Electronic Technology,204.83,333957055306.03,7.0,14.0,24.0,15.0,6.8,7.1,46.0,10.7,19.4,1.55,Net Cash,0.06,77.4,5.3,48.8,34.3,163.6,-1.0,-6.0,1.47,
60.0,B,50,WDAY,Technology Services,137.84,35424881365.92,7.0,19.0,22.0,12.0,5.8,8.2,75.7,11.2,29.1,4.01,Net Cash,0.49,53.3,4.58,23.9,13.3,32.2,-7.9,-37.8,1.07,
60.0,B,51,BIIB,Health Technology,190.48,27954565273.3,7.0,25.0,18.0,10.0,5.6,7.4,66.6,25.4,21.5,1.59,0.9,0.36,21.6,1.53,9.6,2.9,-21.2,-4.7,7.3,0.82,
59.0,C+,52,AMZN,Retail Trade,212.65,2282780948554.55,24.0,11.0,20.0,4.0,15.8,22.3,50.3,11.8,1.1,0.1,0.3,0.41,29.6,5.55,15.5,12.4,29.9,1.8,-7.8,1.44,
59.0,C+,53,AMGN,Health Technology,377.64,203573517720.21,23.0,25.0,1.0,10.0,12.6,106.1,70.5,27.9,22.0,1.05,3.0,6.4,26.5,23.5,16.2,10.6,88.6,-0.8,18.8,0.39,2.68
58.0,C+,54,EA,Technology Services,199.92,50030726162.15,9.0,19.0,22.0,8.0,8.0,10.0,77.5,14.2,30.9,2.05,Net Cash,0.32,75.1,8.12,36.1,-0.3,-32.2,-0.0,-1.8,0.49,0.38
54.0,C+,55,ROP,Technology Services,352.25,36256215997.04,7.0,25.0,10.0,12.0,5.7,7.9,69.2,28.3,31.5,1.62,2.9,0.48,24.8,1.89,14.5,12.3,-1.0,-1.4,-20.4,0.5,1.03
52.0,C+,56,LIN,Process Industries,481.55,223147461314.34,19.0,17.0,12.0,4.0,12.1,18.1,37.8,27.2,15.0,0.74,1.8,0.73,33.0,5.84,19.0,3.0,7.2,7.4,21.8,0.35,1.34
50.0,C+,57,FANG,Energy Minerals,176.64,49826434964.04,2.0,19.0,14.0,15.0,3.3,4.4,35.2,32.3,34.8,3.16,1.6,0.4,31.3,1.36,7.1,35.8,-64.3,6.5,11.8,0.74,2.35
48.0,C,58,ORLY,Retail Trade,94.39,79144792880.22,20.0,14.0,9.0,5.0,37.8,,51.6,19.5,9.0,0.63,2.1,,31.8,,22.0,6.4,9.4,0.4,0.2,0.07,
48.0,C,59,NXPI,Electronic Technology,199.87,50505717742.58,13.0,21.0,6.0,8.0,9.9,21.0,53.4,25.5,20.4,1.24,2.3,1.24,25.2,5.03,15.2,-2.7,-18.3,-9.7,-12.8,1.66,2.0
47.0,C,60,GFS,Electronic Technology,44.09,24509121340.21,7.0,8.0,24.0,8.0,6.9,7.8,24.9,11.7,14.9,1.14,Net Cash,0.14,27.8,2.05,11.0,0.6,,2.7,10.0,1.3,
46.0,C,61,CMCSA,Consumer Services,30.57,109986150721.51,16.0,18.0,6.0,6.0,10.5,21.9,58.6,16.9,17.7,1.09,2.6,1.08,5.7,1.14,5.6,-0.0,29.6,-1.7,18.0,0.5,4.25
46.0,C,62,SNPS,Technology Services,432.98,82942525271.01,4.0,19.0,8.0,15.0,4.3,5.5,68.0,15.0,32.3,1.71,3.7,0.36,66.9,2.71,39.5,31.9,-52.2,1.2,-9.2,1.26,
44.0,C,63,HON,Electronic Technology,239.44,152206180219.87,18.0,13.0,5.0,8.0,11.9,31.7,38.0,19.8,14.5,1.15,2.4,2.56,30.0,10.94,18.5,4.8,-8.3,0.9,24.3,0.87,1.98
43.0,C,64,CEG,Utilities,300.69,108846879022.84,14.0,8.0,16.0,5.0,10.7,16.8,17.4,15.0,4.8,0.56,0.9,0.65,40.6,6.46,17.3,12.4,-37.8,14.3,-16.6,1.51,0.54
41.0,C,65,TMUS,Communications,213.44,235181593219.37,11.0,18.0,1.0,11.0,6.5,18.2,47.6,21.3,17.5,1.4,3.6,2.07,22.0,3.99,10.9,8.5,0.3,8.5,8.5,0.34,1.74
41.0,C,66,ON,Electronic Technology,59.24,23341776750.23,2.0,11.0,20.0,8.0,1.0,1.5,32.3,12.5,23.7,11.72,0.5,0.42,177.5,3.06,16.8,-15.3,-90.8,-8.6,7.7,1.66,
40.0,C,67,GEHC,Health Technology,72.65,33110223508.41,16.0,10.0,10.0,4.0,11.5,22.2,39.7,14.0,7.3,0.72,1.7,1.01,16.0,3.19,11.3,4.8,4.9,-9.2,-14.0,1.89,0.19
39.0,D,68,TSLA,Consumer Durables,407.82,1530316715095.71,2.0,5.0,24.0,8.0,4.3,4.9,18.0,5.1,6.6,1.64,Net Cash,0.18,379.0,18.62,136.5,-2.9,-47.2,-0.5,-9.2,1.49,
39.0,D,69,CDW,Technology Services,118.91,15338628140.17,23.0,4.0,3.0,9.0,13.8,43.0,21.7,7.4,4.9,1.02,2.8,2.37,14.7,5.9,10.7,6.8,1.4,-15.8,-20.0,1.12,2.12
38.0,D,70,CCEP,Consumer Non-Durables,101.13,45427415690.94,16.0,9.0,4.0,9.0,10.9,24.4,34.9,13.1,10.0,1.08,2.8,1.36,20.9,4.94,13.9,6.8,45.6,4.2,11.3,0.2,2.29
36.0,D,71,MAR,Consumer Services,326.38,86485660074.08,14.0,9.0,5.0,8.0,22.6,,19.5,15.8,10.0,1.0,3.9,,34.4,,23.7,4.3,14.1,-1.5,13.7,1.05,0.82
35.0,D,72,PCAR,Producer Manufacturing,118.12,62118645860.09,9.0,8.0,10.0,8.0,8.7,12.9,15.7,11.1,10.6,1.28,1.6,0.81,26.2,3.22,17.2,-15.5,-42.9,-6.8,4.1,0.8,1.11
34.0,D,73,KDP,Consumer Non-Durables,27.65,37567116558.61,7.0,16.0,6.0,5.0,5.3,8.4,51.6,21.5,8.3,0.66,3.9,0.7,18.1,1.47,12.6,8.2,45.1,-2.4,-6.5,0.16,3.28
33.0,D,74,CSX,Transportation,40.34,75014519527.22,13.0,15.0,4.0,1.0,9.2,22.5,33.2,33.2,12.1,0.59,2.9,1.48,26.1,5.7,14.7,-3.1,-13.9,0.3,8.7,0.81,1.37
32.0,D,75,CHTR,Consumer Services,224.36,31888634155.48,12.0,16.0,0.0,4.0,4.5,31.5,46.3,24.4,8.1,0.89,4.5,6.05,6.2,1.77,6.0,-0.6,3.1,-2.9,4.5,0.83,
30.0,D,76,MDLZ,Consumer Non-Durables,55.36,70962973663.51,7.0,8.0,4.0,11.0,5.6,9.3,30.9,12.3,8.4,1.32,3.2,0.85,29.3,2.75,14.8,5.8,-44.8,-7.7,2.3,0.17,3.53
26.0,D,77,AEP,Utilities,131.26,70993480653.69,9.0,12.0,1.0,4.0,5.0,12.3,32.5,25.1,-7.5,-0.46,5.6,1.59,19.7,2.28,13.6,10.5,19.2,8.9,14.6,-0.03,2.87
24.0,D,78,SBUX,Consumer Services,101.44,115570593103.29,5.0,5.0,4.0,10.0,9.1,,15.7,8.9,6.3,1.26,4.3,,84.5,,26.9,4.3,-61.2,2.4,20.4,1.21,2.46
24.0,D,79,DLTR,Retail Trade,113.25,22520122568.5,13.0,8.0,0.0,3.0,8.8,20.1,38.5,7.7,9.1,,4.1,2.21,,6.56,17.1,-39.3,-182.3,-8.5,-8.6,0.64,
18.0,D,80,WBD,Consumer Services,27.81,68966838388.19,2.0,5.0,3.0,8.0,1.0,2.1,28.8,4.1,8.3,4.25,4.5,1.02,96.8,1.92,14.2,-5.0,,1.7,-5.5,1.55,
18.0,D,81,EXC,Utilities,48.84,49958071804.67,4.0,10.0,1.0,3.0,3.8,9.9,27.9,21.2,-9.4,-0.82,5.6,1.76,17.9,1.73,11.3,5.3,11.5,10.8,12.3,-0.21,3.43
15.0,D,82,XEL,Utilities,81.0,50534021620.09,4.0,7.0,1.0,3.0,3.8,9.4,24.5,19.8,-46.5,-3.38,6.0,1.53,23.7,2.14,14.4,8.9,-0.3,7.1,8.5,0.2,2.89
