Quality Score,Grade,Rank,Ticker,Sector,Price,Market Cap,P1 Return on Capital,P2 Profitability,P3 Balance Sheet,P4 Capital Efficiency,ROIC %,ROE %,Gross Margin %,Op Margin %,FCF Margin %,FCF/NI,Net Debt/EBITDA,D/E,P/E,P/B,EV/EBITDA,Rev Growth %,EPS Growth %,Perf 1M %,Perf 3M %,Beta,Div Yield %
81.0,A,37,ADSK,Technology Services,251.83,53136131277.75,29.0,23.0,16.0,13.0,21.3,39.7,85.5,20.3,33.5,2.14,0.1,0.9,48.1,17.53,31.9,17.8,2.1,5.4,-16.0,0.71,
81.0,A,38,DXCM,Health Technology,66.31,25520387728.6,29.0,19.0,20.0,13.0,22.1,34.5,60.4,19.6,23.1,1.29,Net Cash,0.51,31.7,9.29,21.4,15.6,46.9,-3.9,-2.5,1.34,
81.0,A,39,TROW,Finance,89.33,19480452603.95,22.0,25.0,24.0,10.0,18.6,19.2,78.9,35.4,33.8,1.21,Net Cash,0.04,9.7,1.8,5.9,3.1,1.0,-5.3,-13.2,1.11,5.83
81.0,A,40,PTC,Technology Services,159.13,18935852548.27,24.0,25.0,18.0,14.0,17.2,23.3,82.6,39.3,32.4,1.21,0.9,0.36,23.2,4.92,16.0,23.6,111.2,2.5,-9.2,0.9,
80.0,A,41,NFLX,Technology Services,94.89,400640972648.79,32.0,21.0,18.0,9.0,26.6,42.8,48.6,29.6,20.9,0.86,0.3,0.64,37.5,15.05,13.5,16.5,27.5,15.5,1.1,0.85,
80.0,A,42,NEM,Non-Energy Minerals,116.21,126421870257.66,24.0,21.0,24.0,11.0,18.3,22.2,49.8,46.9,33.0,1.03,Net Cash,0.17,18.2,3.74,9.5,18.6,118.6,-0.4,22.3,0.69,0.87
80.0,A,43,INTU,Technology Services,440.45,121806445398.41,24.0,25.0,18.0,13.0,17.6,23.5,77.7,27.1,36.3,1.77,0.6,0.36,28.6,6.41,20.0,17.2,44.0,0.4,-33.2,0.49,1.06
80.0,A,44,CDNS,Technology Services,294.16,80203020783.76,21.0,25.0,22.0,12.0,14.4,21.9,85.6,31.7,30.0,1.43,Net Cash,0.49,72.5,14.61,41.8,14.1,5.3,3.8,-13.0,1.16,
80.0,A,45,FIX,Industrial Services,1407.32,49502436803.71,35.0,8.0,24.0,13.0,42.0,49.2,23.5,14.4,11.3,1.01,Net Cash,0.2,48.7,20.22,33.7,29.5,97.8,14.5,38.5,1.67,0.2
79.0,B+,46,PDD,Retail Trade,102.94,145980478855.0,32.0,16.0,24.0,7.0,29.5,30.0,56.6,22.1,,,Net Cash,0.03,10.8,2.61,,12.4,-6.0,-2.4,-8.5,1.07,
79.0,B+,47,FAST,Distribution Services,46.59,53500623523.96,35.0,15.0,22.0,7.0,30.8,33.3,43.0,20.2,12.8,0.83,0.1,0.11,42.6,13.56,29.2,8.7,9.2,-2.4,13.3,0.63,2.07
79.0,B+,48,TW,Finance,123.36,29069524989.46,17.0,25.0,24.0,13.0,13.0,13.2,87.8,42.3,54.9,1.39,Net Cash,0.02,32.6,4.03,24.8,18.9,62.1,8.4,15.9,0.35,0.45
79.0,B+,49,LULU,Consumer Non-Durables,162.79,19929083109.88,35.0,19.0,20.0,5.0,31.2,41.0,58.4,22.1,10.7,0.62,0.2,0.39,11.4,4.26,7.0,8.8,3.5,-5.9,-11.3,1.35,
78.0,B+,50,SCCO,Non-Energy Minerals,192.02,157284177966.8,32.0,21.0,18.0,7.0,25.5,42.9,53.2,52.2,25.5,0.79,0.3,0.67,37.0,14.37,20.3,17.4,26.7,-3.7,34.1,1.55,1.7
78.0,B+,51,PANW,Technology Services,164.93,134582881488.14,22.0,19.0,24.0,13.0,15.5,16.3,73.5,12.7,38.7,3.14,Net Cash,0.04,91.3,12.34,60.9,15.4,2.1,3.2,-13.8,1.23,
78.0,B+,52,PGR,Finance,201.22,117896084012.23,35.0,10.0,20.0,13.0,32.3,40.4,,16.5,19.6,1.52,0.4,0.23,10.5,3.89,,16.3,33.4,-0.2,-10.0,0.57,0.19
78.0,B+,53,UTHR,Health Technology,544.71,23873378901.39,22.0,25.0,25.0,6.0,19.7,19.7,87.9,47.6,32.7,0.78,Net Cash,0.0,19.5,3.35,13.1,10.6,13.4,12.0,12.8,0.37,
77.0,B+,54,WDC,Electronic Technology,268.81,91136787281.4,32.0,19.0,18.0,8.0,26.7,41.3,42.7,27.9,24.2,1.32,0.3,0.71,27.0,12.85,27.3,-31.2,137.6,-3.9,52.0,2.21,0.19
77.0,B+,55,GRMN,Electronic Technology,236.09,45442799636.78,22.0,22.0,24.0,9.0,19.4,19.8,58.7,25.9,18.8,0.82,Net Cash,0.02,27.5,5.07,20.8,15.1,17.6,17.0,11.8,1.29,1.74
76.0,B+,56,AVGO,Electronic Technology,341.57,1619476871352.66,26.0,23.0,12.0,15.0,18.2,33.4,65.0,41.6,45.3,1.25,1.4,0.83,66.7,,45.0,25.2,147.1,3.3,-15.6,2.16,0.76
76.0,B+,57,LLY,Health Technology,999.84,943206461690.7,35.0,23.0,10.0,8.0,37.1,101.3,83.0,45.6,13.8,0.43,1.2,1.65,44.3,35.6,30.9,44.7,96.6,-7.2,-0.8,0.53,0.69
76.0,B+,58,NOW,Technology Services,115.63,120948980632.64,19.0,19.0,24.0,14.0,12.9,15.5,77.5,14.7,34.5,2.62,Net Cash,0.19,69.3,9.34,45.0,20.9,22.0,15.6,-32.2,1.22,
76.0,B+,59,IBKR,Finance,68.39,115999775917.48,24.0,25.0,15.0,12.0,20.0,20.4,95.1,86.2,232.4,24.63,Net Cash,4.65,30.9,5.68,8.2,11.0,28.0,-8.5,3.4,1.81,0.47
76.0,B+,60,SPOT,Technology Services,514.37,105874082869.95,32.0,10.0,22.0,12.0,28.3,33.0,31.9,12.8,17.6,1.36,Net Cash,0.23,53.3,10.82,37.2,14.6,61.1,19.4,-15.2,0.93,
75.0,B+,61,JNJ,Health Technology,242.99,585581356107.64,29.0,25.0,16.0,5.0,23.7,35.0,68.0,27.2,20.9,0.73,0.9,0.6,22.0,7.18,18.6,6.0,90.5,1.1,16.9,0.18,2.13
75.0,B+,62,CME,Finance,303.33,108781866449.16,17.0,25.0,24.0,9.0,13.1,14.6,82.6,64.9,64.3,1.04,Net Cash,0.13,27.2,3.79,23.7,6.4,15.4,0.4,13.5,0.11,1.65
75.0,B+,63,WSM,Retail Trade,185.77,22177355245.24,35.0,15.0,18.0,7.0,35.9,56.9,46.3,18.6,14.3,0.98,0.3,0.71,20.4,10.81,13.4,5.1,7.6,-15.1,-1.8,1.44,1.4
74.0,B+,64,QCOM,Electronic Technology,134.12,143106036770.01,21.0,23.0,18.0,12.0,13.8,21.5,55.1,27.2,29.2,2.33,0.2,0.64,27.7,6.24,10.6,10.2,-48.3,-2.2,-26.1,0.2,
74.0,B+,65,BKNG,Consumer Services,4322.42,136905502952.34,20.0,25.0,17.0,12.0,46.7,,97.1,35.2,33.8,1.68,0.2,,26.0,,13.6,13.4,-4.0,-2.2,-18.1,-0.51,0.93
74.0,B+,66,ACN,Technology Services,201.48,123972009550.36,29.0,12.0,22.0,11.0,20.4,25.3,31.9,15.6,16.5,1.5,Net Cash,0.27,16.7,4.02,9.7,6.6,1.4,-14.5,-26.2,0.7,3.23
74.0,B+,67,PAYX,Technology Services,94.0,33742940122.12,29.0,25.0,10.0,10.0,24.1,40.9,73.4,42.4,35.0,1.18,1.2,1.3,21.3,8.7,12.8,12.4,-7.2,-4.6,-16.8,0.41,4.54
74.0,B+,68,ROL,Commercial Services,56.08,26979651343.26,32.0,16.0,14.0,12.0,25.2,38.9,49.4,19.5,17.3,1.23,1.1,0.76,51.6,19.64,32.6,11.0,13.0,-13.5,-5.1,0.36,1.3
74.0,B+,69,CF,Process Industries,120.13,18460236248.26,26.0,19.0,16.0,13.0,17.6,29.6,42.3,37.1,25.4,1.24,0.5,0.75,13.4,3.81,6.5,19.3,32.9,29.5,57.6,0.06,1.82
73.0,B+,70,MCO,Commercial Services,445.93,79063392281.64,29.0,25.0,10.0,9.0,22.5,64.5,68.1,44.8,33.4,1.05,1.2,1.81,32.6,19.53,21.4,8.9,21.4,-1.4,-7.6,1.13,0.91
73.0,B+,71,TER,Electronic Technology,301.99,47278330814.88,22.0,19.0,24.0,8.0,19.3,19.7,57.9,21.7,14.1,0.81,Net Cash,0.1,86.7,16.86,57.6,13.3,5.0,1.4,50.1,1.72,0.17
73.0,B+,72,EME,Industrial Services,720.18,32071463649.61,35.0,5.0,24.0,9.0,35.1,38.5,19.3,9.3,7.0,0.93,Net Cash,0.13,25.4,8.73,17.8,16.6,31.4,-5.4,15.5,1.26,0.22
73.0,B+,73,VRSK,Technology Services,203.13,28020137542.6,32.0,23.0,7.0,11.0,28.0,444.0,59.2,44.7,38.8,1.31,1.6,15.86,31.3,90.98,18.1,6.6,-3.3,13.7,-5.9,0.15,0.99
73.0,B+,74,FSLR,Electronic Technology,200.25,21489025955.04,22.0,19.0,24.0,8.0,16.6,17.4,40.9,32.5,22.7,0.78,Net Cash,0.07,14.1,2.25,8.7,24.1,18.3,-9.5,-23.3,1.19,
72.0,B+,75,CSCO,Electronic Technology,78.1,308486636370.51,24.0,21.0,16.0,11.0,16.6,24.3,64.0,23.6,21.6,1.2,1.0,0.67,27.5,6.46,19.7,9.0,24.6,-7.8,-2.7,0.99,2.16
72.0,B+,76,ARM,Electronic Technology,120.1,128024103241.0,12.0,21.0,24.0,15.0,10.8,11.3,94.8,18.6,24.4,1.23,Net Cash,0.06,160.0,16.36,113.8,26.4,-1.0,-0.1,-13.0,2.46,
72.0,B+,77,REGN,Health Technology,774.66,81883623034.29,17.0,25.0,24.0,6.0,13.6,14.9,81.6,25.8,28.4,0.91,Net Cash,0.1,18.6,2.62,18.0,1.0,8.6,-1.1,6.7,0.81,0.49
71.0,B+,78,MU,Electronic Technology,418.69,471239462206.8,24.0,19.0,20.0,8.0,18.1,22.6,45.5,32.9,12.4,0.54,0.1,0.21,39.8,8.02,21.1,45.4,203.8,10.0,60.1,2.4,0.11
71.0,B+,79,GILD,Health Technology,146.0,181247394726.72,26.0,25.0,12.0,8.0,18.9,40.5,78.8,40.1,32.1,1.11,1.1,1.13,21.5,7.98,13.5,2.5,1747.5,-3.8,19.4,0.25,2.21
71.0,B+,80,APH,Electronic Technology,134.54,165378571722.11,26.0,18.0,14.0,13.0,19.0,36.8,36.9,25.9,19.0,1.03,0.7,1.2,40.3,12.3,24.7,51.7,74.1,-1.9,-2.4,1.52,0.73
71.0,B+,81,CTAS,Commercial Services,198.34,79314112377.66,32.0,18.0,14.0,7.0,27.9,43.2,48.5,23.0,17.2,0.99,1.0,0.73,42.9,17.8,27.6,8.6,11.7,1.2,6.8,0.63,0.92
71.0,B+,82,CL,Consumer Non-Durables,89.61,71826712258.26,32.0,20.0,9.0,10.0,27.8,1602.3,60.1,22.0,17.8,1.7,1.4,158.41,34.2,1329.53,15.5,1.4,-25.4,-4.7,15.1,0.15,2.25
71.0,B+,83,CPRT,Retail Trade,35.55,34245613123.61,22.0,19.0,24.0,6.0,17.1,17.2,44.8,36.5,30.3,0.91,Net Cash,0.01,22.3,3.5,15.4,2.4,7.1,-11.8,-9.2,0.64,
71.0,B+,84,WAT,Health Technology,297.54,29189230184.21,26.0,22.0,16.0,7.0,18.2,29.3,57.8,26.7,16.3,0.8,0.9,0.58,27.6,6.92,28.6,7.0,0.5,-10.5,-24.8,0.94,
71.0,B+,85,EXPE,Consumer Services,230.35,28225804370.68,26.0,19.0,15.0,11.0,19.8,91.1,84.1,13.4,21.1,2.4,Net Cash,5.04,23.4,21.98,10.0,7.6,8.9,-2.1,-15.8,1.33,0.83
70.0,B+,86,SCHW,Finance,92.67,162377327825.64,14.0,25.0,20.0,11.0,11.4,18.1,83.4,47.6,48.0,1.5,Net Cash,0.64,19.9,3.82,8.8,6.4,56.0,-11.6,-3.0,1.02,1.37
70.0,B+,87,VRT,Electronic Technology,268.26,102635867376.82,29.0,12.0,14.0,15.0,21.2,41.8,34.3,18.4,18.5,1.42,0.6,0.82,78.7,26.04,47.4,27.7,164.9,36.3,51.1,2.12,0.09
70.0,B+,88,KEYS,Electronic Technology,284.26,48751302803.3,19.0,19.0,20.0,12.0,12.2,17.2,62.0,19.9,24.7,1.56,0.4,0.45,51.3,7.86,34.2,13.1,58.6,23.8,33.6,1.5,
70.0,B+,89,SYF,Finance,65.21,22666753294.48,21.0,25.0,16.0,8.0,12.7,21.3,80.7,28.4,51.5,2.77,0.0,0.91,7.0,1.46,2.2,-7.9,8.8,-12.7,-23.0,1.57,1.83
69.0,B,90,MRK,Health Technology,116.21,287316675774.98,29.0,24.0,12.0,4.0,20.1,36.9,74.2,41.1,19.0,0.68,1.1,0.96,16.0,5.47,10.0,1.5,8.0,-4.3,18.1,0.71,2.9
69.0,B,91,UBER,Transportation,74.97,154296955332.66,32.0,10.0,18.0,9.0,28.5,41.4,32.9,11.9,18.8,0.97,0.6,0.45,15.9,5.73,23.0,18.3,3.0,0.3,-10.8,1.6,
69.0,B,92,MELI,Retail Trade,1766.1,89536290846.78,26.0,13.0,15.0,15.0,18.6,36.0,44.5,11.1,27.5,3.98,Net Cash,2.25,44.8,13.27,22.0,39.1,4.5,-11.0,-10.7,1.08,
69.0,B,93,APO,Finance,106.1,61352039025.34,14.0,21.0,20.0,14.0,10.6,16.7,60.9,21.1,23.0,2.2,Net Cash,0.57,19.4,2.8,9.0,23.3,-24.4,-21.0,-28.8,1.71,1.89
69.0,B,94,ALL,Finance,205.59,53357977077.93,35.0,9.0,18.0,7.0,30.7,39.5,,17.7,14.6,0.96,0.5,0.25,5.4,1.87,,5.6,124.8,-0.7,1.7,0.16,6.09
69.0,B,95,EW,Health Technology,85.09,49420270258.12,9.0,25.0,24.0,11.0,9.8,10.4,77.9,26.9,22.0,1.26,Net Cash,0.07,47.1,4.78,25.7,6.0,23.9,8.9,0.9,0.57,
69.0,B,96,ODFL,Transportation,188.78,39346591040.66,27.0,16.0,22.0,4.0,23.3,23.9,31.7,25.4,17.4,0.93,0.0,0.03,39.0,9.13,22.4,-5.5,-11.7,-6.3,20.1,0.97,0.59
69.0,B,97,VEEV,Technology Services,187.09,30754203790.72,17.0,20.0,24.0,8.0,13.8,13.9,76.5,29.6,,,Net Cash,0.01,34.5,,24.4,16.3,25.1,1.7,-17.9,1.08,
69.0,B,98,CINF,Finance,164.0,25521283151.46,22.0,13.0,22.0,12.0,15.2,16.0,,24.0,24.5,1.29,0.2,0.06,10.8,1.6,,11.4,4.4,-5.6,0.6,0.54,2.28
69.0,B,99,VLTO,Producer Manufacturing,91.37,22645447414.59,26.0,20.0,14.0,9.0,18.8,36.6,59.3,23.2,18.4,1.08,0.6,0.93,24.3,7.31,17.3,6.0,12.6,0.6,-6.8,0.75,0.52
69.0,B,100,PSTG,Electronic Technology,62.09,20500358762.65,17.0,15.0,24.0,13.0,12.3,13.7,70.4,3.1,16.8,3.27,Net Cash,0.15,113.9,,72.5,15.6,78.2,-13.0,-15.1,1.97,
69.0,B,101,ILMN,Health Technology,121.5,18577349026.81,26.0,23.0,14.0,6.0,18.6,33.4,67.1,20.6,21.5,1.1,0.8,0.94,22.2,6.83,16.7,-0.7,,1.5,-9.3,1.38,
68.0,B,102,GEV,Producer Manufacturing,847.65,228466667028.97,35.0,4.0,24.0,5.0,43.5,47.1,20.3,4.9,9.7,0.76,Net Cash,0.11,47.7,20.44,81.8,8.9,216.2,9.2,19.2,0.34,0.16
68.0,B,103,AXP,Finance,305.99,210097017813.57,23.0,20.0,14.0,11.0,14.2,33.8,60.7,20.6,20.0,1.49,0.4,1.73,19.9,6.27,9.3,8.5,9.8,-14.8,-18.7,1.34,1.25
68.0,B,104,ACGL,Finance,94.81,33733713075.94,22.0,13.0,20.0,13.0,17.3,19.5,,24.5,31.5,1.39,0.5,0.12,8.2,1.46,,15.2,3.8,-5.8,2.8,0.35,
68.0,B,105,FTI,Industrial Services,64.38,25754894640.86,29.0,8.0,20.0,11.0,21.6,29.9,21.7,13.8,14.6,1.5,0.2,0.4,27.9,7.67,14.7,9.4,20.4,9.1,40.1,1.1,0.31
68.0,B,106,CPAY,Commercial Services,330.49,22489942926.93,18.0,25.0,13.0,12.0,11.2,30.5,72.6,45.9,28.7,1.21,0.5,2.6,21.9,5.82,9.7,13.9,7.7,-6.9,6.3,1.21,
68.0,B,107,RL,Consumer Non-Durables,338.95,20525164180.33,26.0,18.0,16.0,8.0,18.2,33.8,66.8,16.1,9.8,0.93,0.4,0.99,23.1,7.11,14.2,12.7,33.9,-1.2,-5.0,0.94,1.05
67.0,B,108,PG,Consumer Non-Durables,153.32,356315779748.9,29.0,18.0,14.0,6.0,21.2,31.6,51.1,24.3,17.6,0.93,1.1,0.69,22.7,6.82,16.2,1.1,7.5,-3.4,8.7,0.24,2.71
67.0,B,109,ZTS,Health Technology,119.79,50566678210.99,29.0,25.0,7.0,6.0,23.5,66.0,70.5,38.0,24.1,0.85,1.7,2.79,19.9,15.28,14.1,2.3,10.2,-5.7,0.7,0.78,1.76
67.0,B,110,VIK,Consumer Services,72.57,32192800566.07,29.0,17.0,9.0,12.0,20.3,263.5,39.0,23.1,20.0,1.14,1.1,5.25,28.2,29.57,19.1,21.9,691.7,-4.6,5.2,1.48,
67.0,B,111,SNA,Consumer Durables,369.77,19195914482.34,19.0,20.0,22.0,6.0,14.7,18.0,51.7,25.8,19.5,0.99,Net Cash,0.22,19.3,3.23,13.2,0.9,-1.6,0.1,5.5,0.76,2.64
67.0,B,112,EXPD,Transportation,140.81,18798652161.25,32.0,5.0,22.0,8.0,29.5,35.4,15.4,9.6,8.6,1.18,Net Cash,0.24,23.7,8.0,16.2,4.4,3.9,-14.8,-6.7,0.92,1.09
66.0,B,113,ITW,Producer Manufacturing,271.52,78252069761.44,35.0,18.0,7.0,6.0,30.9,93.7,43.6,26.3,16.9,0.88,1.8,2.86,25.9,24.3,18.8,0.9,-10.4,-6.8,6.5,0.81,2.36
66.0,B,114,PYPL,Commercial Services,45.57,41954684006.08,26.0,14.0,18.0,8.0,17.0,25.7,41.8,19.7,16.7,1.06,0.2,0.6,8.4,2.07,5.8,4.9,35.3,13.3,-24.1,1.24,1.24
66.0,B,115,NVR,Consumer Durables,6610.91,18469296965.0,32.0,8.0,22.0,4.0,26.4,33.2,21.2,14.3,10.9,0.82,Net Cash,0.27,15.1,4.61,11.9,-2.0,-13.8,-17.7,-12.3,0.24,
65.0,B,116,TEL,Electronic Technology,205.14,60195110505.82,19.0,16.0,18.0,12.0,12.3,16.3,35.9,20.2,18.2,1.7,1.0,0.44,29.6,4.64,14.2,14.2,10.7,-5.1,-15.6,1.46,1.4
64.0,B,117,TXN,Electronic Technology,198.67,180303107715.8,26.0,21.0,12.0,5.0,16.3,30.0,57.0,34.7,14.7,0.52,1.2,0.91,36.5,11.07,23.4,13.0,4.8,-10.2,10.2,1.18,2.88
64.0,B,118,CRM,Technology Services,194.13,179181993366.47,12.0,23.0,18.0,11.0,10.3,12.4,75.3,21.5,34.7,1.93,0.6,0.3,24.9,3.05,14.9,9.6,22.8,2.6,-26.3,1.19,0.9
