rank,ticker,sector,score,grade,price,mktcap,eps_g,rev_g,roe,roic,n_ratio,p3m,p1m,pe,beta
38,JBS,Consumer Non-Durables,80.0,A,15.08,16113113408.598282,119.5,,24.2,8.3,83.7,6.3,-7.7,9.9,0.16
39,KO,Consumer Non-Durables,78.0,A,77.34,332617930613.8446,23.5,3.5,46.0,18.2,94.3,11.9,0.6,25.5,0.16
40,JCI,Producer Manufacturing,78.0,A,130.16,79666533145.65266,103.0,-6.4,13.1,8.1,88.9,10.5,-7.8,24.5,1.07
41,MNST,Consumer Non-Durables,78.0,A,77.11,75434455589.977,30.5,10.7,26.8,26.0,88.2,5.7,-3.9,39.8,0.36
42,NEM,Non-Energy Minerals,77.0,A,109.58,119209265736.56812,118.6,18.6,22.2,18.3,81.2,7.3,-12.3,17.2,0.69
43,STX,Electronic Technology,77.0,A,383.71,83676815958.19296,61.8,25.2,,47.0,83.4,27.1,-6.3,43.4,1.99
44,GRMN,Electronic Technology,77.0,A,233.52,44948123765.4459,17.6,15.1,19.8,19.4,89.2,10.8,12.0,27.2,1.29
45,NXT,Electronic Technology,77.0,A,119.64,17763650369.86747,3.1,30.0,33.3,31.7,90.9,28.1,-1.7,30.6,1.4
46,CASY,Retail Trade,76.0,A,660.87,24425114167.575314,21.4,9.2,17.9,10.0,94.9,21.7,0.7,37.9,0.37
47,OVV,Energy Minerals,76.0,A,55.33,15676952180.521387,16.2,-3.1,11.5,7.6,99.1,34.9,16.4,11.3,0.86
48,PM,Consumer Non-Durables,75.0,A,174.66,271889652898.04446,60.7,7.6,,34.0,91.3,15.7,-4.3,24.0,-0.0
49,MCK,Distribution Services,75.0,A,940.91,115249664458.2778,59.3,15.5,,99.4,94.2,15.0,0.8,27.1,-0.01
50,BURL,Retail Trade,75.0,A,296.7,18670444365.094704,22.2,8.8,38.4,9.1,89.3,8.7,-3.3,31.2,0.59
51,CMCSA,Consumer Services,74.0,B+,30.16,108511034399.0,29.6,-0.0,21.9,10.5,85.3,16.9,-6.6,5.6,0.5
52,CHD,Consumer Non-Durables,74.0,B+,97.75,23136861751.60599,27.1,1.6,17.6,11.3,85.8,16.7,-0.9,32.5,0.09
53,HCA,Health Services,73.0,B+,532.97,119183931830.77844,29.1,7.1,,18.1,95.8,10.3,6.4,18.8,0.32
54,DRI,Consumer Services,73.0,B+,202.37,23300729507.982716,9.4,8.6,54.1,11.6,88.7,10.4,-3.9,21.2,0.58
55,TER,Electronic Technology,72.0,B+,286.42,44840754047.264015,5.0,13.3,19.7,19.3,83.0,42.3,-8.3,82.2,1.72
56,GE,Electronic Technology,71.0,B+,299.69,314318959884.9487,36.3,0.1,45.2,22.7,86.0,3.0,-6.2,36.8,1.46
57,MRK,Health Technology,70.0,B+,115.61,285833258537.6127,8.0,1.5,36.9,20.1,92.4,16.8,-1.2,15.9,0.71
58,EBAY,Retail Trade,70.0,B+,91.34,40920320000.0,9.4,8.1,40.8,18.0,90.3,8.0,4.4,21.0,0.53
59,CW,Electronic Technology,70.0,B+,656.02,24187148108.49391,21.9,12.1,19.4,13.8,89.9,16.7,0.2,51.0,1.02
60,ATI,Non-Energy Minerals,70.0,B+,141.97,19440846549.869263,11.7,5.2,22.1,11.2,84.4,28.2,2.3,49.8,1.88
61,NVT,Electronic Technology,70.0,B+,109.93,17778920174.53184,116.9,18.4,12.3,7.9,89.4,1.3,-5.6,25.7,1.46
62,BWXT,Electronic Technology,70.0,B+,194.13,17752234739.957687,16.7,18.3,28.4,12.1,88.0,5.7,-4.4,54.2,1.22
63,LIN,Process Industries,69.0,B+,493.92,228879647705.4344,7.2,3.0,18.1,12.1,96.7,21.4,7.7,33.8,0.35
64,KMI,Industrial Services,69.0,B+,33.39,74286286938.11601,16.8,11.5,9.9,5.0,97.5,23.9,6.1,24.4,0.41
65,ROST,Retail Trade,69.0,B+,206.28,66720222356.30289,4.6,7.7,36.7,21.5,95.1,12.0,6.5,31.2,0.47
66,RGLD,Non-Energy Minerals,69.0,B+,259.11,21975145049.410854,35.2,43.2,9.1,8.3,84.6,16.2,-9.7,38.0,0.35
67,MRNA,Health Technology,69.0,B+,52.56,20758015814.982582,21.8,-39.9,-28.9,-26.2,88.3,78.4,39.8,,1.64
68,FFIV,Technology Services,69.0,B+,289.31,16351590679.872192,20.2,8.8,20.8,19.5,83.6,9.4,1.7,23.9,0.81
69,MPLX,Industrial Services,68.0,B+,58.52,59409755360.24607,14.4,6.2,35.0,13.6,97.8,7.4,5.4,12.1,0.49
70,RTX,Electronic Technology,67.0,B+,204.52,274524650394.8401,39.7,9.7,10.7,6.7,95.3,14.0,4.6,41.2,0.82
71,DELL,Electronic Technology,67.0,B+,151.62,100477001753.90114,40.2,19.1,,30.1,90.2,9.5,18.7,17.4,1.99
72,TT,Producer Manufacturing,67.0,B+,422.4,93490600060.55284,15.4,7.5,36.9,23.1,88.1,4.8,-9.8,32.5,0.97
73,FDX,Transportation,67.0,B+,351.68,82687993775.19577,15.6,3.1,15.9,7.0,89.5,23.0,-5.0,19.4,1.1
74,COR,Distribution Services,67.0,B+,349.95,68076012186.44152,18.3,7.4,152.3,20.8,92.7,1.4,-2.9,42.1,-0.05
75,FAST,Distribution Services,67.0,B+,45.46,52203013210.15293,9.2,8.7,33.3,30.8,89.8,8.0,-3.2,41.6,0.63
76,ANET,Electronic Technology,66.0,B+,133.57,167835758000.03833,23.7,28.6,31.4,31.3,81.0,0.8,-8.0,48.5,2.07
77,PWR,Industrial Services,66.0,B+,559.02,83640241569.33905,12.8,20.3,12.7,7.9,96.9,20.3,7.3,82.3,1.13
78,UTHR,Health Technology,66.0,B+,536.12,23496899507.812992,13.4,10.6,19.7,19.7,97.8,9.2,13.0,19.2,0.37
79,COST,Retail Trade,65.0,B+,1008.43,447392520922.78076,12.3,8.4,29.7,23.1,94.5,14.2,3.6,52.4,0.29
80,NOC,Electronic Technology,65.0,B+,733.71,104129318051.16937,2.7,2.2,26.2,12.8,94.8,30.3,7.5,25.1,0.11
81,HII,Electronic Technology,65.0,B+,415.71,16313577410.042454,10.1,8.2,12.4,7.8,90.4,25.5,3.0,27.1,0.92
82,HUBB,Producer Manufacturing,64.0,B+,467.38,24846669746.491024,16.0,3.8,25.1,16.5,87.6,1.6,-8.4,28.0,1.01
83,EXAS,Health Technology,64.0,B+,103.57,19770291692.370483,80.1,17.7,-8.7,-4.2,99.8,2.1,0.1,,0.25
84,TXT,Electronic Technology,64.0,B+,91.05,15857490782.06303,18.3,8.0,12.2,8.1,89.6,5.1,-5.5,17.8,1.23
85,CTVA,Process Industries,63.0,B+,79.21,53270624996.116486,23.1,2.9,5.0,4.6,97.9,18.9,6.1,50.0,0.61
86,CAH,Distribution Services,63.0,B+,217.08,51082398492.770645,29.7,10.1,,34.9,92.9,9.5,-1.8,31.2,0.4
87,INTC,Electronic Technology,62.0,B+,45.77,228621150000.00003,98.1,-0.5,-0.3,-0.2,83.8,16.6,-4.9,,1.18
88,RBC,Producer Manufacturing,62.0,B+,536.37,16959462215.539404,16.7,11.1,8.7,6.7,91.0,17.0,-2.8,63.1,0.77
89,PG,Consumer Non-Durables,60.0,B+,150.65,350110710338.86273,7.5,1.1,31.6,21.2,86.2,6.8,-5.0,22.3,0.24
90,ADI,Electronic Technology,60.0,B+,306.07,149424642703.82877,74.6,25.9,7.9,6.5,84.3,8.4,-7.2,55.9,1.83
91,TDY,Electronic Technology,60.0,B+,638.91,29584927934.555683,9.7,7.7,8.9,7.2,92.1,21.9,-3.3,33.8,0.83
92,CTAS,Commercial Services,58.0,B,194.28,77690558689.81062,11.7,8.6,43.2,27.9,84.7,2.8,-2.6,42.0,0.63
93,CPAY,Commercial Services,58.0,B,317.53,21608011784.67415,7.7,13.9,30.5,11.2,87.7,0.1,-11.2,21.1,1.21
94,FCX,Non-Energy Minerals,57.0,B,56.38,81029428346.65022,16.8,-0.0,12.0,7.8,80.8,15.6,-13.4,37.2,1.9
95,ALB,Process Industries,57.0,B,158.22,18645787296.29983,48.6,-4.4,-5.2,-3.9,76.8,16.3,-8.2,,1.77
96,WMT,Retail Trade,56.0,B,126.52,1008385542584.2734,13.4,4.7,23.0,14.7,93.9,9.8,-0.1,46.3,0.58
97,UNP,Transportation,56.0,B,242.44,143861819087.7324,8.1,1.1,40.4,14.7,90.4,2.8,-7.6,20.2,0.64
98,AME,Producer Manufacturing,56.0,B,214.49,49113322018.96104,8.0,6.6,14.6,12.8,88.6,5.0,-7.9,33.5,0.93
99,YUMC,Consumer Services,56.0,B,52.7,18608182748.837875,7.4,4.4,16.7,12.5,90.3,8.8,-7.5,21.1,0.34
100,LHX,Electronic Technology,54.0,B,358.96,67045207338.9572,8.3,2.5,8.2,5.2,94.7,22.7,4.0,42.1,0.45
101,FTNT,Technology Services,53.0,B,83.44,61739224963.53649,7.4,14.2,135.7,86.2,76.3,1.8,-2.3,34.4,1.25
102,YUM,Consumer Services,53.0,B,160.4,44339392284.33421,6.4,8.8,,30.4,94.7,7.7,1.3,28.9,0.39
103,KVUE,Consumer Non-Durables,53.0,B,17.49,33523644612.046577,42.7,-2.2,14.4,8.5,69.5,0.5,-3.4,22.9,-0.03
104,DGX,Health Services,53.0,B,199.7,21940304187.90422,13.8,11.8,14.2,7.7,93.5,9.6,-3.5,22.8,0.15
105,GD,Electronic Technology,48.0,B,351.52,95047404340.61491,13.4,10.1,17.7,12.9,95.1,3.1,-2.7,22.7,0.72
106,WAB,Producer Manufacturing,48.0,B,236.76,40371647970.40688,13.2,7.5,11.0,7.9,88.9,8.3,-7.0,34.7,1.16
107,TXN,Electronic Technology,47.0,B,190.78,173142529182.39346,4.8,13.0,30.0,16.3,82.5,4.9,-14.5,35.0,1.18
108,ETN,Producer Manufacturing,47.0,B,355.4,137859663622.91074,10.0,10.3,21.6,14.5,87.0,1.8,-9.8,34.0,1.23
109,RSG,Industrial Services,46.0,B,224.28,69258776538.26787,5.7,3.5,18.3,8.8,86.7,5.6,0.7,32.7,0.08
110,REGN,Health Technology,45.0,B,745.77,78829868632.23602,8.6,1.0,14.9,13.6,90.8,0.6,-0.7,17.9,0.81
111,KTOS,Electronic Technology,44.0,C,87.53,16346904482.811314,23.5,18.5,1.3,1.2,65.3,10.9,-8.7,665.1,1.72
112,OKE,Industrial Services,41.0,C,85.36,53758330882.03461,4.6,55.0,17.2,6.7,82.4,15.4,1.6,15.8,0.6
113,ASTS,Communications,41.0,C,86.34,32984243804.603516,32.4,1505.2,-29.5,-14.5,66.5,4.0,-14.3,,1.55
114,TMUS,Communications,40.0,C,217.39,239533947107.97733,0.3,8.5,18.2,6.5,79.7,11.9,13.6,22.4,0.34
115,MAR,Consumer Services,40.0,C,313.81,83154803536.85266,14.1,4.3,,22.6,84.8,5.2,-12.5,33.0,1.05
116,MCD,Consumer Services,39.0,C,326.46,231916736305.02582,4.9,3.7,,17.2,95.5,5.1,0.9,27.3,0.29
117,BDX,Health Technology,31.0,C,159.36,45376458028.89983,1.7,6.2,7.0,4.1,85.1,1.2,-6.6,26.0,0.56
118,RKLB,Electronic Technology,22.0,C,68.41,38818943738.29458,2.0,38.0,-18.8,-14.1,68.7,9.5,-6.5,,2.04
