rank,ticker,sector,score,grade,price,mktcap,eps_g,rev_g,gross_m,op_m,roe,roic,p3m,p1m,pe,ev_eb
66,HWM,Electronic Technology,48,B,238.72,95712414827.85399,32.1,11.1,30.7,25.8,30.4,18.5,20.5,4.1,64.3,40.7
67,GRMN,Electronic Technology,48,B,233.63,44970259061.06522,17.6,15.1,58.7,25.9,19.8,19.4,10.9,12.1,27.2,20.5
68,NOW,Technology Services,47,B,112.43,117599166270.86763,22.0,20.9,77.5,14.7,15.5,12.9,-35.2,6.5,67.3,43.7
69,MCO,Commercial Services,47,B,431.0,76416283804.12396,21.4,8.9,68.1,44.8,64.5,22.5,-11.3,3.0,31.5,20.7
70,NTES,Technology Services,47,B,117.38,71884816891.85231,14.0,7.1,64.3,31.8,22.4,22.3,-16.5,-3.4,16.1,9.4
71,RMD,Health Technology,47,B,231.72,33756600715.439266,19.5,9.6,60.0,34.2,25.7,23.0,-8.4,-11.1,22.9,15.9
72,FSLR,Electronic Technology,47,B,195.16,20942275873.7295,18.3,24.1,40.9,32.5,17.4,16.6,-28.5,-15.1,13.7,8.4
73,EXAS,Health Technology,47,B,103.61,19776972779.64704,80.1,17.7,69.7,-4.8,-8.7,-4.2,2.2,0.1,,323.9
74,MDB,Technology Services,46,B,261.63,21027479322.44393,50.3,22.8,71.3,-5.6,-2.5,-2.4,-37.4,-31.5,,
75,HEI,Electronic Technology,45,B,289.34,34734242991.8425,25.1,16.1,42.3,22.4,17.3,10.9,-9.0,-11.0,57.2,30.3
76,WDAY,Technology Services,45,B,131.85,33885449845.68026,32.2,13.3,75.7,11.2,8.2,5.8,-41.5,-13.8,51.0,22.8
77,ROL,Commercial Services,45,B,55.65,26772782345.526173,13.0,11.0,49.4,19.5,38.9,25.2,-6.8,-14.4,51.2,32.3
78,STE,Health Technology,45,B,214.68,21054745863.78846,53.3,8.0,44.3,18.6,10.4,8.0,-15.2,-11.8,29.7,14.4
79,WWD,Producer Manufacturing,44,C,356.4,21247393225.6503,32.8,14.5,27.9,15.8,20.4,16.9,20.1,-9.0,44.9,30.4
80,FFIV,Technology Services,44,C,289.05,16336613072.702837,20.2,8.8,80.1,25.1,20.8,19.5,9.3,1.6,23.9,16.6
81,CSCO,Electronic Technology,43,C,78.52,310145595052.14044,24.6,9.0,64.0,23.6,24.3,16.6,-1.2,-8.8,27.6,19.8
82,KDP,Consumer Non-Durables,43,C,27.37,37186689268.64278,45.1,8.2,51.6,21.5,8.4,5.3,-7.4,-4.6,17.9,12.5
83,CTAS,Commercial Services,40,C,192.53,76992751273.1248,11.7,8.6,48.5,23.0,43.2,27.9,1.9,-3.5,41.6,26.8
84,CW,Electronic Technology,40,C,661.92,24404678326.841087,21.9,12.1,37.2,18.2,19.4,13.8,17.8,1.1,51.4,33.0
85,TEAM,Technology Services,40,C,73.74,19517443629.86392,45.9,20.1,83.8,-2.0,-13.5,-7.3,-54.8,-19.6,,
86,RBC,Producer Manufacturing,40,C,538.0,17011001122.28536,16.7,11.1,40.0,23.1,8.7,6.7,17.3,-2.5,63.3,33.3
87,BABA,Retail Trade,39,C,135.56,282786038537.3888,49.1,5.1,40.7,11.4,12.4,10.2,-14.1,-17.4,18.7,13.1
88,CRM,Technology Services,39,C,193.08,178212838908.06323,22.8,9.6,75.3,21.5,12.4,10.3,-26.7,-0.0,24.7,14.9
89,SPGI,Commercial Services,39,C,421.28,125878462518.44345,18.7,7.9,62.6,42.6,13.9,10.0,-15.5,3.6,28.7,18.5
90,RCL,Consumer Services,39,C,272.15,73624279674.85344,47.5,8.8,39.9,27.6,48.5,15.4,-3.3,-21.8,17.5,14.3
91,EW,Health Technology,39,C,81.96,47602367343.235085,23.9,6.0,77.9,26.9,10.4,9.8,-2.6,4.3,45.4,24.7
92,VLTO,Producer Manufacturing,39,C,90.39,22402561235.2764,12.6,6.0,59.3,23.2,36.6,18.8,-9.2,-2.5,24.1,17.2
93,BR,Technology Services,39,C,178.22,20806372753.23364,41.3,7.4,31.2,17.6,41.8,18.2,-23.0,4.0,19.7,13.5
94,ETN,Producer Manufacturing,38,C,349.47,135559416562.46095,10.0,10.3,37.6,19.8,21.6,14.5,0.1,-11.3,33.4,22.6
95,CCEP,Consumer Non-Durables,38,C,101.05,45389234803.08579,45.6,6.8,34.9,13.1,24.4,10.9,13.2,4.9,20.9,13.9
96,TEL,Electronic Technology,37,C,199.27,58472651013.02093,10.7,14.2,35.9,20.2,16.3,12.3,-18.6,-12.9,28.7,13.8
97,TT,Producer Manufacturing,36,C,420.72,93118740313.48434,15.4,7.5,36.2,18.8,36.9,23.1,4.4,-10.1,32.4,22.3
98,KMI,Industrial Services,36,C,33.34,74174824135.61229,16.8,11.5,34.7,27.7,9.9,5.0,23.7,5.9,24.4,15.1
99,MPLX,Industrial Services,36,C,58.29,59176258372.32986,14.4,6.2,45.2,40.3,35.0,13.6,7.0,5.0,12.1,13.7
100,DG,Retail Trade,36,C,133.77,29445302080.697834,33.9,5.2,30.7,5.2,19.0,6.6,1.0,-8.5,19.5,13.5
101,DGX,Health Services,36,C,201.13,22097962357.707138,13.8,11.8,31.9,14.5,14.2,7.7,10.4,-2.9,23.0,13.0
102,VRSN,Technology Services,36,C,235.41,21587554221.560898,10.1,6.4,88.2,67.7,,,-4.0,6.9,26.7,19.8
103,TJX,Retail Trade,35,C,155.69,172888625170.4768,14.4,7.1,32.6,12.0,59.1,27.1,-0.3,1.6,31.9,21.2
104,RTX,Electronic Technology,34,C,205.75,276182375523.1289,39.7,9.7,20.1,10.0,10.7,6.7,14.7,5.2,41.5,23.4
105,WMB,Industrial Services,34,C,73.4,89662728205.4516,17.5,9.8,41.6,35.5,20.7,6.7,21.3,5.2,34.4,18.3
106,CPNG,Retail Trade,34,C,18.38,33605455149.808685,35.2,14.1,29.4,1.4,4.8,2.8,-28.8,1.2,164.0,31.4
107,FTI,Industrial Services,34,C,63.13,25254838029.74904,20.4,9.4,21.7,13.8,29.9,21.6,35.0,3.7,27.4,14.4
108,BWXT,Electronic Technology,34,C,194.48,17784240520.408855,16.7,18.3,22.9,10.1,28.4,12.1,5.9,-4.2,54.3,44.7
109,LVS,Consumer Services,33,C,53.65,36048012832.88748,20.1,15.2,38.0,23.7,72.7,10.8,-19.2,-7.1,22.8,10.5
110,CCL,Consumer Services,31,C,24.09,33437894618.92871,43.9,6.4,29.6,16.8,25.6,7.5,-14.1,-27.6,12.0,8.2
111,EFX,Commercial Services,31,C,184.6,22202443547.29242,10.1,6.9,44.6,18.8,14.0,7.4,-16.7,-7.6,34.7,14.6
112,KTOS,Electronic Technology,29,C,88.25,16480436262.831993,23.5,18.5,22.1,2.1,1.3,1.2,11.8,-8.0,670.6,184.7
113,WAB,Producer Manufacturing,28,C,238.04,40589909963.1511,13.2,7.5,31.5,16.3,11.0,7.9,8.8,-6.5,34.9,19.7
114,BURL,Retail Trade,28,C,298.4,18777734920.007027,22.2,8.8,40.3,7.4,38.4,9.1,9.3,-2.7,31.3,18.6
115,CASY,Retail Trade,26,C,672.15,24841830926.92409,21.4,9.2,21.9,5.6,17.9,10.0,23.8,2.4,38.6,19.5
116,ATI,Non-Energy Minerals,26,C,141.88,19428522282.844624,11.7,5.2,22.0,14.0,22.1,11.2,28.1,2.2,49.7,25.8
117,LH,Health Services,24,C,265.86,21906864710.88806,18.4,7.2,26.8,10.9,10.5,6.1,0.0,-6.5,25.4,12.7
118,VMC,Non-Energy Minerals,23,C,265.03,34607731724.19188,18.3,7.1,27.4,20.3,13.0,8.0,-11.5,-19.0,32.7,16.7
